'private_sale', 'marketing', 'team', 'public_sale', 'community', 'ecosystem', 'chain', 'total'
0, 0.0, 0, 0, 0, 0, 0, 0.0
0, 0.3333333333333333, 0, 0, 0, 0, 0, 0.3333333333333333
0, 0.6666666666666666, 0, 0, 0, 0, 0, 0.6666666666666666
0, 1.0, 0, 0, 0, 0, 0, 1.0
0, 1.3333333333333333, 0, 0, 0.0, 0, 0, 1.3333333333333333
0, 1.6666666666666665, 0, 0, 24.0, 0, 0, 25.666666666666668
0, 2.0, 0, 0, 24, 0, 0, 26.0
0, 2.333333333333333, 0, 0, 24, 0, 0, 26.333333333333332
0, 2.6666666666666665, 0, 0, 24, 0, 0, 26.666666666666668
0, 3.0, 0, 0, 24, 0, 0, 27.0
0, 3.333333333333333, 0, 0, 24, 0, 0, 27.333333333333332
0, 3.6666666666666665, 0, 0, 24, 0, 0, 27.666666666666668
0.0, 4.0, 0.0, 0, 24, 0, 0, 28.0
0.625, 4, 0.3888888888888889, 0, 24, 0, 0, 29.01388888888889
1.25, 4, 0.7777777777777778, 0.0, 24, 0, 0, 30.02777777777778
1.875, 4, 1.1666666666666667, 0.5555555555555556, 24, 0, 0, 31.59722222222222
2.5, 4, 1.5555555555555556, 1.1111111111111112, 24, 0, 0, 33.166666666666664
3.125, 4, 1.9444444444444444, 1.6666666666666667, 24, 0, 0, 34.736111111111114
3.75, 4, 2.3333333333333335, 2.2222222222222223, 24, 0, 0, 36.30555555555556
4.375, 4, 2.7222222222222223, 2.7777777777777777, 24, 0, 0, 37.875
5.0, 4, 3.111111111111111, 3.3333333333333335, 24, 0, 0, 39.44444444444444
5.625, 4, 3.5, 3.8888888888888893, 24, 0, 0, 41.013888888888886
6.25, 4, 3.888888888888889, 4.444444444444445, 24, 0, 0, 42.583333333333336
6.875, 4, 4.277777777777778, 5.0, 24, 0, 0, 44.15277777777778
7.5, 4, 4.666666666666667, 5.555555555555555, 24, 0.0, 0.0, 45.72222222222222
8.125, 4, 5.055555555555555, 6.111111111111112, 24, 0.5, 0.125, 47.91666666666667
8.75, 4, 5.444444444444445, 6.666666666666667, 24, 1.0, 0.25, 50.111111111111114
9.375, 4, 5.833333333333333, 7.222222222222222, 24, 1.5, 0.375, 52.30555555555556
10.0, 4, 6.222222222222222, 7.777777777777779, 24, 2.0, 0.5, 54.5
10.625, 4, 6.611111111111112, 8.333333333333334, 24, 2.5, 0.625, 56.69444444444444
11.25, 4, 7.0, 8.88888888888889, 24, 3.0, 0.75, 58.888888888888886
11.875, 4, 7.388888888888889, 9.444444444444445, 24, 3.5, 0.875, 61.083333333333336
12.5, 4, 7.777777777777778, 10.0, 24, 4.0, 1.0, 63.27777777777778
13.125, 4, 8.166666666666666, 10, 24, 4.5, 1.125, 64.91666666666666
13.75, 4, 8.555555555555555, 10, 24, 5.0, 1.25, 66.55555555555556
14.375, 4, 8.944444444444445, 10, 24, 5.5, 1.375, 68.19444444444444
15.0, 4, 9.333333333333334, 10, 24, 6.0, 1.5, 69.83333333333334
15, 4, 9.722222222222223, 10, 24, 6, 1.625, 70.34722222222223
15, 4, 10.11111111111111, 10, 24, 6, 1.75, 70.86111111111111
15, 4, 10.5, 10, 24, 6, 1.875, 71.375
15, 4, 10.88888888888889, 10, 24, 6, 2.0, 71.88888888888889
15, 4, 11.277777777777779, 10, 24, 6, 2.125, 72.40277777777777
15, 4, 11.666666666666666, 10, 24, 6, 2.25, 72.91666666666666
15, 4, 12.055555555555555, 10, 24, 6, 2.375, 73.43055555555556
15, 4, 12.444444444444445, 10, 24, 6, 2.5, 73.94444444444444
15, 4, 12.833333333333334, 10, 24, 6, 2.625, 74.45833333333334
15, 4, 13.222222222222223, 10, 24, 6, 2.75, 74.97222222222223
15, 4, 13.61111111111111, 10, 24, 6, 2.875, 75.48611111111111
15, 4, 14.0, 10, 24, 6, 3.0, 76.0
15, 4, 14, 10, 24, 6, 3.125, 76.125
15, 4, 14, 10, 24, 6, 3.25, 76.25
15, 4, 14, 10, 24, 6, 3.375, 76.375
15, 4, 14, 10, 24, 6, 3.5, 76.5
15, 4, 14, 10, 24, 6, 3.625, 76.625
15, 4, 14, 10, 24, 6, 3.75, 76.75
15, 4, 14, 10, 24, 6, 3.875, 76.875
15, 4, 14, 10, 24, 6, 4.0, 77.0
15, 4, 14, 10, 24, 6, 4.125, 77.125
15, 4, 14, 10, 24, 6, 4.25, 77.25
15, 4, 14, 10, 24, 6, 4.375, 77.375
