'privateRoundOne', 'privateRoundTwo', 'publicRound', 'team', 'total'
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0, 0, 0, 0, 0
0.0, 0, 0, 0, 0.0
1.25, 0, 0, 0, 1.25
2.5, 0, 0, 0, 2.5
3.75, 0, 0, 0, 3.75
5.0, 0, 0, 0, 5.0
6.25, 0, 0, 0, 6.25
7.5, 0.0, 0, 0, 7.5
7.5, 1.25, 0, 0, 8.75
7.5, 2.5, 0, 0, 10.0
7.5, 3.75, 0, 0, 11.25
7.5, 5.0, 0, 0, 12.5
7.5, 6.25, 0, 0, 13.75
7.5, 7.5, 0.0, 0.0, 15.0
7.5, 7.5, 1.6666666666666667, 1.6666666666666667, 18.333333333333336
7.5, 7.5, 3.3333333333333335, 3.3333333333333335, 21.666666666666664
7.5, 7.5, 5.0, 5.0, 25.0
7.5, 7.5, 6.666666666666667, 6.666666666666667, 28.333333333333336
7.5, 7.5, 8.333333333333334, 8.333333333333334, 31.66666666666667
7.5, 7.5, 10.0, 10.0, 35.0
7.5, 7.5, 10, 11.666666666666668, 36.66666666666667
7.5, 7.5, 10, 13.333333333333334, 38.333333333333336
7.5, 7.5, 10, 15.0, 40.0
7.5, 7.5, 10, 16.666666666666668, 41.66666666666667
7.5, 7.5, 10, 18.333333333333336, 43.333333333333336
7.5, 7.5, 10, 20.0, 45.0
7.5, 7.5, 10, 20, 45.0
7.5, 7.5, 10, 20, 45.0
7.5, 7.5, 10, 20, 45.0
7.5, 7.5, 10, 20, 45.0
7.5, 7.5, 10, 20, 45.0
7.5, 7.5, 10, 20, 45.0
7.5, 7.5, 10, 20, 45.0
7.5, 7.5, 10, 20, 45.0
7.5, 7.5, 10, 20, 45.0
7.5, 7.5, 10, 20, 45.0
7.5, 7.5, 10, 20, 45.0
